m_id	m_mapId	m_areaId	m_unk1	m_unk2	m_unk3	m_name	m_description
63	36	1581	522352	522336	526404	Deadmines	It is said the Deadmines\' gold deposits once accounted for a third of Stormwind\'s treasure reserves. Amid the chaos of the First War, the mines were abandoned and later thought to be haunted, leaving them relatively untouched until the Defias Brotherhood--a group of former laborers turned brigands--claimed the labyrinth as a base of operations for its subversive activities against Stormwind.
64	33	0	522358	522342	526410	Shadowfang Keep	Looming over Pyrewood Village from the southern bluffs of Silverpine Forest, Shadowfang Keep casts a shadow as dark as its legacy. Sinister forces occupy these ruins, formerly the dwelling of the mad archmage Arugal\'s worgen. The restless shade of Baron Silverlaine lingers, while Lord Godfrey and his cabal of erstwhile Gilnean noblemen plot against their enemies both living and undead.
65	643	5382	522362	522346	526413	Throne of the Tides	Deep within the Abyssal Maw\'s fathomless expanses lies the Throne of the Tides. From here, the great elemental lord Neptulon the Tidehunter has surveyed and protected his aquatic domain for ages. He now faces his greatest challenge as a force of serpentine naga and malefic faceless ones threaten to depose him, leaving his realm and its secrets ripe for the plundering.
66	645	5374	522350	522334	526402	Blackrock Caverns	Rumors suggest that Deathwing himself carved out the subterranean labyrinth that allows the Twilight\'s Hammer to secretly transport elementals from the majestic Mount Hyjal to Blackrock Mountain. A vital hub of this shadow network is Blackrock Caverns, site of the cult\'s blistering forge and some of its most heinous experiments, including the transformation of cultists into twilight dragonkin.
67	725	5303	522360	522344	526412	The Stonecore	Within the Temple of Earth, locked in the heart of Deepholm, lies the Stonecore. It was inside these caverns that the Twilight\'s Hammer toiled over Deathwing, hammering elementium plates to the Dragon Aspect\'s body in an attempt to hold his tormented form together. With his renewal complete, Deathwing ascended into Azeroth, shattering the World Pillar and destabilizing the region of Deepholm.
68	657	5583	522361	522345	526414	The Vortex Pinnacle	The Vortex Pinnacle exists within the elemental plane of Skywall. Its elegant structures, crowned with bronze and gold, sit atop platforms bridged by pure air. Yet behind its exterior beauty, the pinnacle harbors Neferset tol\'vir, as well as Al\'Akir the Windlord\'s merciless elemental legions. As long as the barrier between Skywall and Azeroth remains open, terror will rain down on Uldum from the skies.
69	755	0	522357	522341	526409	Lost City of the Tol\'vir	The Lost City of the Tol\'vir is the stronghold of the Neferset, a faction of the cat-like tol\'vir who swore fealty to Deathwing in exchange for a cure to the curse of flesh, which had turned their rocky hides to soft skin. With the affliction expunged, the tol\'vir have rebelled against their benefactor, although they remain irrevocably twisted and hostile due to the dark pact that they made.
70	644	0	522356	522340	526408	Halls of Origination	Constructed by the great titans, the Halls of Origination are filled with ancient relics and the fearsome guardians that protect them. Rumors abound that the complex also contains a devastating weapon capable of reordering all life on Azeroth. Deathwing has moved to obtain this terrifying device through his agent, Al\'Akir the Windlord. Thus far the facility\'s communication systems have been fully corrupted, but the weapon inside continues to elude Deathwing\'s grasp.
71	670	0	522354	522338	526406	Grim Batol	"Don\'t be fooled by Grim Batol\'s humble exterior; many of this mountain fortress\'s desecrated chambers are buried deep in the Twilight Highlands. Once the stronghold of the Wildhammer dwarves, and later seized by orcs as a prison for Alextrasza, the city is now in the clutches of the Twilight\'s Hammer cult.

Heroes brave enough to infiltrate the brooding depths of the stronghold must confront Deathwing\'s agents to thwart the mysterious evil within."
72	671	0	522355	522339	526407	The Bastion of Twilight	The Bastion of Twilight stands as a dark symbol of the Old Gods\' burgeoning power on Azeroth. Various branches of the Twilight\'s Hammer dwell deep beneath the towering form--considered the cult\'s foremost command center--along with their twisted leader, Cho\'gall. There, he and his servants conspire to bring the Old Gods\' apocalyptic visions to fruition by bleeding Azeroth of all sanity, hope, and life.
